occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,premisetype,occurenceday
0,5,14.0,36,3,12,2,3,44,3,5
0,5,24.0,58,2,6,0,0,77,1,14
0,5,24.0,58,2,14,0,7,57,1,14
0,5,26.0,37,5,13,0,6,7,1,3
0,5,26.0,37,5,2,2,13,13,3,3
0,5,26.0,37,5,0,3,7,78,3,3
0,6,8.0,59,4,18,0,3,79,1,8
0,6,25.0,39,3,9,1,6,7,0,13
0,10,15.0,60,6,15,1,12,80,4,1
0,10,15.0,60,6,19,2,15,46,3,1
0,10,26.0,61,2,14,0,8,9,3,3
0,1,8.0,62,1,16,1,12,56,4,8
0,1,8.0,62,1,4,0,1,81,2,8
0,1,17.0,63,4,2,0,10,22,2,6
0,1,24.0,64,4,12,2,4,82,3,14
0,1,25.0,65,5,16,1,9,83,4,13
0,8,1.0,66,5,17,0,12,84,1,7
0,4,31.0,67,1,4,0,0,85,2,20
0,7,24.0,68,5,9,2,2,86,3,14
0,1,10.0,17,4,21,1,9,87,0,4
0,1,10.0,17,4,20,1,12,83,4,4
0,1,15.0,1,1,10,1,16,37,0,1
0,1,15.0,1,1,14,1,14,88,4,1
0,1,15.0,1,1,1,2,10,23,0,1
0,1,15.0,1,1,21,1,10,52,2,1
0,1,23.0,69,2,13,0,2,86,4,17
0,1,23.0,69,2,15,2,1,59,3,17
0,8,7.0,70,4,18,0,2,86,3,11
0,8,10.0,71,3,5,2,6,89,0,4
0,8,10.0,71,3,19,0,3,70,1,4
0,8,15.0,72,5,11,1,8,9,1,1
0,8,15.0,72,5,8,0,10,22,1,1
0,8,15.0,72,5,20,1,11,90,1,1
0,8,16.0,73,6,19,0,6,91,1,2
0,8,17.0,74,3,14,2,2,13,4,6
0,8,18.0,75,0,13,0,8,9,0,0
0,8,18.0,75,0,2,1,1,35,4,0
0,8,8.0,76,5,13,3,5,12,0,8
0,8,2.0,77,6,19,3,6,7,3,22
0,8,1.0,66,5,13,1,2,92,1,7
0,8,27.0,78,2,2,0,16,65,0,15
0,8,27.0,78,2,19,0,5,0,3,15
0,4,10.0,79,1,8,0,0,77,4,4
0,4,16.0,25,0,22,1,16,37,4,2
0,4,16.0,25,0,20,1,14,24,1,2
0,4,18.0,26,2,18,0,6,89,3,0
0,4,26.0,80,4,7,1,0,26,0,3
0,4,24.0,27,1,10,0,8,41,2,14
0,4,26.0,80,4,20,1,8,9,4,3
0,2,10.0,28,5,13,0,10,22,3,4
0,2,10.0,28,5,15,0,13,38,1,4
0,2,10.0,28,5,2,0,10,22,1,4
0,2,17.0,6,5,11,0,9,93,4,6
0,5,24.0,58,2,18,0,1,11,0,14
0,5,26.0,37,5,1,0,13,29,3,3
0,5,26.0,37,5,2,1,13,38,4,3
0,6,8.0,59,4,8,0,8,27,0,8
0,6,8.0,59,4,19,0,7,62,3,8
0,6,25.0,39,3,2,0,4,75,2,13
0,10,15.0,60,6,21,2,3,30,0,1
0,10,26.0,61,2,5,0,16,74,3,3
0,1,17.0,63,4,5,0,15,46,0,6
0,7,21.0,81,1,18,1,11,94,0,21
0,1,17.0,63,4,19,0,0,26,3,6
0,0,9.0,48,6,4,0,9,95,4,12
0,1,18.0,82,5,11,0,2,92,4,0
0,6,6.0,83,1,9,1,5,6,0,23
0,0,9.0,48,6,8,0,13,48,4,12
0,8,16.0,73,6,19,2,14,32,2,2
0,8,1.0,66,5,9,0,12,61,1,7
0,1,24.0,64,4,17,2,7,20,0,14
0,6,23.0,84,5,8,1,0,64,1,17
0,0,18.0,0,0,11,2,11,15,2,0
0,2,24.0,22,5,23,2,10,47,3,14
0,0,1.0,8,5,17,0,1,67,0,7
0,2,17.0,6,5,3,2,15,96,2,6
0,8,17.0,74,3,5,1,14,97,1,6
0,8,18.0,75,0,11,1,0,96,1,0
0,8,16.0,73,6,14,3,1,67,3,2
0,8,24.0,85,3,1,0,5,12,0,14
0,8,24.0,85,3,1,0,11,15,0,14
0,8,24.0,85,3,12,1,10,22,1,14
0,8,25.0,86,0,17,1,8,19,0,13
0,8,25.0,86,0,7,0,10,22,3,13
0,8,6.0,87,2,6,0,0,0,0,23
0,11,25.0,88,2,3,2,11,98,3,13
0,9,5.0,89,3,9,1,8,19,0,24
0,9,8.0,90,2,10,0,14,24,1,8
0,9,8.0,90,2,15,0,13,99,1,8
0,9,8.0,90,2,1,0,13,28,1,8
0,9,8.0,90,2,9,0,2,3,2,8
0,9,13.0,91,0,11,0,2,40,1,25
0,9,13.0,91,0,19,1,13,38,4,25
0,9,22.0,92,2,6,0,5,12,0,26
0,9,22.0,92,2,19,0,12,100,3,26
0,7,6.0,93,0,2,0,8,41,1,23
0,7,8.0,94,2,0,2,10,12,3,8
0,7,17.0,95,5,7,0,9,101,3,6
0,7,17.0,95,5,2,0,2,2,2,6
0,7,17.0,95,5,1,0,5,0,2,6
0,5,5.0,96,5,14,1,4,66,4,24
0,1,6.0,97,3,9,1,11,98,0,23
0,7,1.0,98,2,17,0,1,11,4,7
0,6,3.0,99,6,12,0,9,102,4,27
0,7,25.0,41,6,11,1,1,81,4,13
0,7,25.0,41,6,20,1,8,33,1,13
0,7,25.0,41,6,13,1,8,33,1,13
0,7,25.0,41,6,9,1,2,86,4,13
0,7,30.0,42,4,10,1,5,6,0,19
0,7,31.0,43,5,6,2,13,48,3,20
0,7,30.0,42,4,9,1,7,20,4,19
0,3,14.0,33,5,5,1,3,103,4,5
0,3,14.0,33,5,8,1,8,41,1,5
0,0,1.0,8,5,9,0,8,19,4,7
0,3,14.0,33,5,15,1,10,23,1,5
0,5,14.0,36,3,5,1,12,104,4,5
0,5,24.0,58,2,1,0,1,105,2,14
0,6,8.0,59,4,19,0,5,47,3,8
0,1,30.0,100,2,13,1,12,61,1,19
0,8,5.0,101,1,17,0,1,59,4,24
0,8,23.0,102,6,22,1,10,47,1,17
0,8,30.0,103,6,15,0,15,31,0,19
0,8,30.0,103,6,9,0,0,77,1,19
0,4,31.0,67,1,21,0,13,29,3,20
0,3,12.0,104,2,11,0,7,20,1,28
0,3,20.0,105,4,2,2,14,106,3,29
0,1,8.0,62,1,2,0,13,36,4,8
0,9,14.0,106,1,17,0,13,38,1,5
0,9,14.0,106,1,2,1,9,83,1,5
0,9,14.0,106,1,18,0,4,45,0,5
0,9,16.0,107,4,3,1,1,59,4,2
0,9,16.0,107,4,19,0,13,29,3,2
0,9,22.0,92,2,3,2,1,1,1,26
0,9,22.0,92,2,7,1,13,21,0,26
0,7,8.0,94,2,2,0,16,74,1,8
0,7,6.0,93,0,4,0,12,80,4,23
0,7,16.0,40,4,13,1,13,29,1,2
0,7,16.0,40,4,12,1,12,56,4,2
0,7,25.0,41,6,6,0,16,65,0,13
0,7,25.0,41,6,20,2,14,107,3,13
